protein1	protein2	cost
GRB2	EGFR	223.2845717912458
GRB2	PLCG1	77.89736837660179
GRB2	HTT	87.79521627059187
GRB2	IRS1	73.56629663099808
GRB2	SOCS1	93.2308961664533
GRB2	PTK2	85.90692637965812
GRB2	JAK2	44.30702562731637
GRB2	BCR	60.06662967072483
GRB2	ALOX5	28.635642126552707
GRB2	VAV1	67.76429738438966
GRB2	WIPF1	28.635642126552707
GRB2	MET	46.17358552246078
GRB2	CBL	132.4688642662871
GRB2	PIK3CA	46.56334447365401
GRB2	PRKAR1A	44.2538918282071
GRB2	CD2AP	60.06662967072483
GRB2	ABL1	113.82442620105755
GRB2	NTRK1	62.73754856543248
GRB2	SRC	124.16118556135005
GRB2	TNFRSF1A	75.76278769950325
GRB2	SHC1	96.68505572217455
GRB2	SH3KBP1	72.21291262099172
GRB2	WAS	67.76429738438966
GRB2	WBP11	30.05568113928342
GRB2	DAB2	52.80151512977634
GRB2	PTPN12	40.496913462633174
GRB2	IL6ST	36.22154055254966
GRB2	BCAR1	62.32356873337696
GRB2	RAPGEF1	27.511241103293028
GRB2	ERBB4	39.40252354538512
GRB2	CDKN1B	71.31306665060873
GRB2	INPPL1	39.76422386774067
GRB2	DCTN1	58.12528569442775
GRB2	PTK2B	67.76429738438966
GRB2	ETV6	38.41874542459709
GRB2	KHDRBS1	73.69686310684571
GRB2	DNM2	42.4735211631906
GRB2	PRKAB1	36.22154055254966
GRB2	GAB1	31.710768274207425
GRB2	ADAM15	27.104268903476452
GRB2	TNK2	57.76555575753437
GRB2	PARD6A	42.57635059033075
GRB2	GIT1	61.672404207304226
GRB2	EPS15	71.02243377839598
GRB2	ACTB	91.4549069213894
GRB2	HNRNPC	62.73754856543248
GRB2	ACTG1	55.82114294781145
GRB2	CBLB	51.42828499298769
GRB2	NCKIPSD	24.344176524367857
GRB2	MAPK9	63.27607244460288
GRB2	HNRNPK	87.19297065612221
GRB2	IKZF3	51.22499389946279
GRB2	KRT17	10.046616485749816
GRB2	CRK	85.90692637965812
GRB2	BAG3	97.48801629460836
GRB2	TFG	33.88214869219483
GRB2	SPRY2	40.792959205072236
GRB2	STAMBP	57.271284253105414
GRB2	LCP2	52.80151512977634
GRB2	PTPN11	92.34717104492157
GRB2	ERBB2	70.81512223820769
